FID,Site,Sample_Date,Week_Dates,Week,Day,Month,Test,Gene_Copies_per_Liter,Date_Updated
1,TP01,2020/04/06 00:00:00+00,2020/03/30-04/05,2020.14,Average,(03) March,covid,5000,2020/05/26 00:00:00+00
2,TP01,2020/04/13 00:00:00+00,2020/04/06-04/12,2020.15,Average,(04) April,covid,927625,2020/05/22 00:00:00+00
3,TP01,2020/04/20 00:00:00+00,2020/04/13-04/19,2020.16,Average,(04) April,covid,17264.5,2020/05/22 00:00:00+00
4,TP01,2020/04/27 00:00:00+00,2020/04/20-04/26,2020.17,Average,(04) April,covid,12695.29,2020/05/22 00:00:00+00
5,TP01,2020/05/04 00:00:00+00,2020/04/27-05/03,2020.18,Average,(04) April,covid,5000,2020/05/22 00:00:00+00
6,TP01,2020/05/11 00:00:00+00,2020/05/04-05/10,2020.19,Average,(05) May,covid,5000,2020/05/22 00:00:00+00
7,TP01,2020/05/18 00:00:00+00,2020/05/11-05/17,2020.2,Average,(05) May,covid,5000,2020/05/22 00:00:00+00
8,TP01,2020/05/25 00:00:00+00,2020/05/18-05/24,2020.21,Average,(05) May,covid,5000,2020/05/22 00:00:00+00
9,TP02,2020/04/27 00:00:00+00,2020/04/20-04/26,2020.17,Average,(04) April,covid,41771543.33,2020/05/22 00:00:00+00
10,TP02,2020/05/04 00:00:00+00,2020/04/27-05/03,2020.18,Average,(04) April,covid,5000,2020/05/22 00:00:00+00
11,TP02,2020/05/11 00:00:00+00,2020/05/04-05/10,2020.19,Average,(05) May,covid,5000,2020/05/22 00:00:00+00
12,TP02,2020/05/18 00:00:00+00,2020/05/11-05/17,2020.2,Average,(05) May,covid,5000,2020/05/22 00:00:00+00
13,TP02,2020/05/25 00:00:00+00,2020/05/18-05/24,2020.21,Average,(05) May,covid,5000,2020/05/22 00:00:00+00
14,TP03,2020/04/27 00:00:00+00,2020/04/20-04/26,2020.17,Average,(04) April,covid,5000,2020/05/22 00:00:00+00
15,TP03,2020/05/04 00:00:00+00,2020/04/27-05/03,2020.18,Average,(04) April,covid,5000,2020/05/22 00:00:00+00
16,TP03,2020/05/11 00:00:00+00,2020/05/04-05/10,2020.19,Average,(05) May,covid,5000,2020/05/22 00:00:00+00
17,TP03,2020/05/18 00:00:00+00,2020/05/11-05/17,2020.2,Average,(05) May,covid,5000,2020/05/22 00:00:00+00
18,TP03,2020/05/25 00:00:00+00,2020/05/18-05/24,2020.21,Average,(05) May,covid,5000,2020/05/22 00:00:00+00
19,TP04,2020/04/27 00:00:00+00,2020/04/20-04/26,2020.17,Average,(04) April,covid,5000,2020/05/22 00:00:00+00
20,TP04,2020/05/04 00:00:00+00,2020/04/27-05/03,2020.18,Average,(04) April,covid,5000,2020/05/22 00:00:00+00
21,TP04,2020/05/11 00:00:00+00,2020/05/04-05/10,2020.19,Average,(05) May,covid,5000,2020/05/22 00:00:00+00
22,TP04,2020/05/18 00:00:00+00,2020/05/11-05/17,2020.2,Average,(05) May,covid,5000,2020/05/22 00:00:00+00
23,TP05,2020/04/27 00:00:00+00,2020/04/20-04/26,2020.17,Average,(04) April,covid,45099,2020/05/22 00:00:00+00
24,TP05,2020/05/04 00:00:00+00,2020/04/27-05/03,2020.18,Average,(04) April,covid,5000,2020/05/22 00:00:00+00
25,TP05,2020/05/11 00:00:00+00,2020/05/04-05/10,2020.19,Average,(05) May,covid,5000,2020/05/22 00:00:00+00
26,TP05,2020/05/18 00:00:00+00,2020/05/11-05/17,2020.2,Average,(05) May,covid,5000,2020/05/22 00:00:00+00
27,TP05,2020/05/25 00:00:00+00,2020/05/18-05/24,2020.21,Average,(05) May,covid,5000,2020/05/22 00:00:00+00
28,TP01,2020/05/31 00:00:00+00,2020/05/25-05/31,2020.22,Average,(05) May,covid,5000,2020/06/04 06:59:59+00
29,TP02,2020/06/01 00:00:00+00,2020/05/25-05/31,2020.22,Average,(05) May,covid,5000,2020/06/04 06:59:59+00
30,TP03,2020/06/01 00:00:00+00,2020/05/25-05/31,2020.22,Average,(05) May,covid,5000,2020/06/04 06:59:59+00
31,TP04,2020/06/01 00:00:00+00,2020/05/25-05/31,2020.22,Average,(05) May,covid,5000,2020/06/04 06:59:59+00
32,TP05,2020/06/01 00:00:00+00,2020/05/25-05/31,2020.22,Average,(05) May,covid,5000,2020/06/04 06:59:59+00
33,TP01,2020/06/08 00:00:00+00,2020/06/01-06/07,2020.23,Average,(06) June,covid,5000,2020/06/04 06:59:59+00
34,TP02,2020/06/08 00:00:00+00,2020/06/01-06/07,2020.23,Average,(06) June,covid,5000,2020/06/04 06:59:59+00
35,TP03,2020/06/08 00:00:00+00,2020/06/01-06/07,2020.23,Average,(06) June,covid,5000,2020/06/04 06:59:59+00
36,TP04,2020/06/08 00:00:00+00,2020/06/01-06/07,2020.23,Average,(06) June,covid,46929.57,2020/06/04 06:59:59+00
37,TP05,2020/06/08 00:00:00+00,2020/06/01-06/07,2020.23,Average,(06) June,covid,23880.857,2020/06/04 06:59:59+00
38,Guadalupe,2020/05/04 00:00:00+00,2020/04/27-05/03,2020.18,Average,(04) April,covid,5000,2020/06/04 06:59:59+00
39,Guadalupe,2020/05/11 00:00:00+00,2020/05/04-05/10,2020.19,Average,(05) May,covid,416000,2020/06/04 06:59:59+00
40,Guadalupe,2020/05/18 00:00:00+00,2020/05/11-05/17,2020.2,Average,(05) May,covid,804467,2020/06/04 06:59:59+00
41,Guadalupe,2020/05/25 00:00:00+00,2020/05/18-05/24,2020.21,Average,(05) May,covid,379791,2020/06/04 06:59:59+00
42,Guadalupe,2020/06/01 00:00:00+00,2020/05/25-05/31,2020.22,Average,(05) May,covid,1145966,2020/06/04 06:59:59+00
43,Guadalupe,2020/06/08 00:00:00+00,2020/06/01-06/07,2020.23,Average,(06) June,covid,1265561.429,2020/06/04 06:59:59+00
44,TP01,2020/06/15 00:00:00+00,2020/06/08-06/14,2020.24,Average,(06) June,covid,340613.33,2020/06/20 06:59:59+00
45,TP02,2020/06/15 00:00:00+00,2020/06/08-06/14,2020.24,Average,(06) June,covid,285200,2020/11/06 06:59:59+00
46,TP03,2020/06/15 00:00:00+00,2020/06/08-06/14,2020.24,Average,(06) June,covid,5000,2020/06/11 06:59:59+00
47,TP04,2020/06/15 00:00:00+00,2020/06/08-06/14,2020.24,Average,(06) June,covid,5000,2020/06/11 06:59:59+00
48,TP05,2020/06/15 00:00:00+00,2020/06/08-06/14,2020.24,Average,(06) June,covid,2700022.67,2020/06/12 06:59:59+00
49,TP06,2020/06/15 00:00:00+00,2020/06/08-06/14,2020.24,Average,(06) June,covid,309200,2020/06/11 06:59:59+00
50,Guadalupe,2020/06/15 00:00:00+00,2020/06/08-06/14,2020.24,Average,(06) June,covid,1128291,2020/06/12 06:59:59+00
51,TP06,2020/04/20 00:00:00+00,2020/04/13-04/19,2020.16,Average,(04) April,covid,5000,2020/06/15 06:59:59+00
52,TP06,2020/04/27 00:00:00+00,2020/04/20-04/26,2020.17,Average,(04) April,covid,11962,2020/06/15 06:59:59+00
53,TP06,2020/05/04 00:00:00+00,2020/04/27-05/03,2020.18,Average,(05) May,covid,5000,2020/06/15 06:59:59+00
54,TP06,2020/05/11 00:00:00+00,2020/05/04-05/10,2020.19,Average,(05) May,covid,5000,2020/06/15 06:59:59+00
55,TP06,2020/05/18 00:00:00+00,2020/05/11-05/17,2020.2,Average,(05) May,covid,5000,2020/06/15 06:59:59+00
56,TP06,2020/05/25 00:00:00+00,2020/05/18-05/24,2020.21,Average,(05) May,covid,5000,2020/06/15 06:59:59+00
57,TP06,2020/06/01 00:00:00+00,2020/05/25-05/31,2020.22,Average,(05) May,covid,5000,2020/06/15 06:59:59+00
58,TP06,2020/06/08 00:00:00+00,2020/06/01-06/07,2020.23,Average,(06) June,covid,5000,2020/06/15 06:59:59+00
59,Guadalupe,2020/06/22 00:00:00+00,2020/06/15-06/21,2020.25,Average,(06) June,covid,792035,2020/06/26 06:59:59+00
60,TP07,2020/06/21 06:59:59+00,2020/06/15-06/21,2020.25,Average,(06) June,covid,636350,
61,TP03,2020/06/22 00:00:00+00,2020/06/15-06/21,2020.25,Average,(06) June,covid,5000,2020/06/26 06:59:59+00
62,TP04,2020/06/22 00:00:00+00,2020/06/15-06/21,2020.25,Average,(06) June,covid,65133,2020/06/26 06:59:59+00
63,TP05,2020/06/22 00:00:00+00,2020/06/15-06/21,2020.25,Average,(06) June,covid,133633,2020/06/26 06:59:59+00
64,TP06,2020/06/22 00:00:00+00,2020/06/15-06/21,2020.25,Average,(06) June,covid,289316,2020/06/26 06:59:59+00
65,TP02,2020/06/22 00:00:00+00,2020/06/15-06/21,2020.25,Average,(06) June,covid,464667,2020/11/06 06:59:59+00
66,TP01,2020/06/22 00:00:00+00,2020/06/15-06/21,2020.25,Average,(06) June,covid,215529,2020/06/26 06:59:59+00
67,Guadalupe,2020/06/28 06:59:59+00,2020/06/22-06/28,2020.26,Average,(06) June,covid,687433,2020/06/26 06:59:59+00
68,TP01,2020/06/28 06:59:59+00,2020/06/22-06/28,2020.26,Average,(06) June,covid,382433,2020/06/26 06:59:59+00
69,TP02,2020/06/28 06:59:59+00,2020/06/22-06/28,2020.26,Average,(06) June,covid,1258767,2020/11/06 06:59:59+00
70,TP03,2020/06/28 06:59:59+00,2020/06/22-06/28,2020.26,Average,(06) June,covid,5000,2020/06/26 06:59:59+00
71,TP04,2020/06/28 06:59:59+00,2020/06/22-06/28,2020.26,Average,(06) June,covid,454067,2020/06/26 06:59:59+00
72,TP05,2020/06/28 06:59:59+00,2020/06/22-06/28,2020.26,Average,(06) June,covid,610633,2020/06/26 06:59:59+00
73,TP06,2020/06/28 06:59:59+00,2020/06/22-06/28,2020.26,Average,(06) June,covid,557167,2020/06/26 06:59:59+00
74,TP07,2020/06/28 06:59:59+00,2020/06/22-06/28,2020.26,Average,(06) June,covid,666050,2020/06/26 06:59:59+00
75,Guadalupe,2020/07/05 06:59:59+00,2020/06/29-07/05,2020.27,Average,(07) July,covid,1919867,2020/07/01 06:59:59+00
76,TP01,2020/07/05 06:59:59+00,2020/06/29-07/05,2020.27,Average,(07) July,covid,388933,2020/07/01 06:59:59+00
77,TP02,2020/07/05 06:59:59+00,2020/06/29-07/05,2020.27,Average,(07) July,covid,472500,2020/11/06 06:59:59+00
78,TP03,2020/07/05 06:59:59+00,2020/06/29-07/05,2020.27,Average,(07) July,covid,5000,2020/07/01 06:59:59+00
79,TP04,2020/07/05 06:59:59+00,2020/06/29-07/05,2020.27,Average,(07) July,covid,151300,2020/07/01 06:59:59+00
80,TP05,2020/07/05 06:59:59+00,2020/06/29-07/05,2020.27,Average,(07) July,covid,452800,2020/07/01 06:59:59+00
81,TP06,2020/07/05 06:59:59+00,2020/06/29-07/05,2020.27,Average,(07) July,covid,1634367,2020/07/01 06:59:59+00
82,TP07,2020/07/05 06:59:59+00,2020/06/29-07/05,2020.27,Average,(07) July,covid,465267,2020/07/01 06:59:59+00
83,TP01,2020/07/12 06:59:59+00,2020/07/06-07/12,2020.28,Average,(07) July,covid,18600,2020/07/16 06:59:59+00
84,TP02,2020/07/12 06:59:59+00,2020/07/06-07/12,2020.28,Average,(07) July,covid,328400,2020/11/06 06:59:59+00
85,TP03,2020/07/12 06:59:59+00,2020/07/06-07/12,2020.28,Average,(07) July,covid,5000,2020/07/16 06:59:59+00
86,TP04,2020/07/12 06:59:59+00,2020/07/06-07/12,2020.28,Average,(07) July,covid,5000,2020/07/16 06:59:59+00
87,TP05,2020/07/12 06:59:59+00,2020/07/06-07/12,2020.28,Average,(07) July,covid,116300,2020/07/16 06:59:59+00
88,TP06,2020/07/12 06:59:59+00,2020/07/06-07/12,2020.28,Average,(07) July,covid,297667,2020/07/16 06:59:59+00
89,TP07,2020/07/12 06:59:59+00,2020/07/06-07/12,2020.28,Average,(07) July,covid,196400,2020/07/16 06:59:59+00
90,Guadalupe,2020/07/12 06:59:59+00,2020/07/06-07/12,2020.28,Average,(07) July,covid,291467,2020/07/16 06:59:59+00
91,TP01,2020/07/19 06:59:59+00,2020/07/13-07/19,2020.29,Average,(07) July,covid,80133,2020/07/24 06:59:59+00
92,TP02,2020/07/19 06:59:59+00,2020/07/13-07/19,2020.29,Average,(07) July,covid,188133,2020/11/06 06:59:59+00
93,TP03,2020/07/19 06:59:59+00,2020/07/13-07/19,2020.29,Average,(07) July,covid,5000,2020/07/24 06:59:59+00
94,TP04,2020/07/19 06:59:59+00,2020/07/13-07/19,2020.29,Average,(07) July,covid,5000,2020/07/24 06:59:59+00
95,TP05,2020/07/19 06:59:59+00,2020/07/13-07/19,2020.29,Average,(07) July,covid,88200,2020/07/24 06:59:59+00
96,TP06,2020/07/19 06:59:59+00,2020/07/13-07/19,2020.29,Average,(07) July,covid,172733,2020/07/24 06:59:59+00
97,TP07,2020/07/19 06:59:59+00,2020/07/13-07/19,2020.29,Average,(07) July,covid,113500,2020/07/24 06:59:59+00
98,Guadalupe,2020/07/19 06:59:59+00,2020/07/13-07/19,2020.29,Average,(07) July,covid,350433,2020/07/24 06:59:59+00
99,TP01,2020/07/26 06:59:59+00,2020/07/20-07/26,2020.3,Average,(07) July,covid,205050,2020/07/28 06:59:59+00
100,TP02,2020/07/26 06:59:59+00,2020/07/20-07/26,2020.3,Average,(07) July,covid,268167,2020/07/31 06:59:59+00
101,TP03,2020/07/26 06:59:59+00,2020/07/20-07/26,2020.3,Average,(07) July,covid,5000,2020/07/28 06:59:59+00
102,TP04,2020/07/26 06:59:59+00,2020/07/20-07/26,2020.3,Average,(07) July,covid,5000,2020/07/28 06:59:59+00
103,TP05,2020/07/26 06:59:59+00,2020/07/20-07/26,2020.3,Average,(07) July,covid,5000,2020/07/28 06:59:59+00
104,TP06,2020/07/26 06:59:59+00,2020/07/20-07/26,2020.3,Average,(07) July,covid,215500,2020/07/31 06:59:59+00
105,TP07,2020/07/26 06:59:59+00,2020/07/20-07/26,2020.3,Average,(07) July,covid,82667,2020/07/31 06:59:59+00
106,Guadalupe,2020/07/26 06:59:59+00,2020/07/20-07/26,2020.3,Average,(07) July,covid,537667,2020/07/31 06:59:59+00
107,TP01,2020/08/02 06:59:59+00,2020/07/27-08/02,2020.31,Average,(07) July,covid,136700,2020/08/14 06:59:59+00
108,TP02,2020/08/02 06:59:59+00,2020/07/27-08/02,2020.31,Average,(07) July,covid,175082,2020/11/06 06:59:59+00
109,TP03,2020/08/02 06:59:59+00,2020/07/27-08/02,2020.31,Average,(07) July,covid,5000,2020/08/07 06:59:59+00
110,TP04,2020/08/02 06:59:59+00,2020/07/27-08/02,2020.31,Average,(07) July,covid,5000,2020/08/07 06:59:59+00
111,TP05,2020/08/02 06:59:59+00,2020/07/27-08/02,2020.31,Average,(07) July,covid,61500,2020/08/07 06:59:59+00
112,TP06,2020/08/02 06:59:59+00,2020/07/27-08/02,2020.31,Average,(07) July,covid,118833,2020/08/14 06:59:59+00
113,TP07,2020/08/02 06:59:59+00,2020/07/27-08/02,2020.31,Average,(07) July,covid,5000,2020/08/07 06:59:59+00
114,Guadalupe,2020/08/02 06:59:59+00,2020/07/27-08/02,2020.31,Average,(07) July,covid,86567,2020/08/14 06:59:59+00
115,TP01,2020/08/09 06:59:59+00,2020/08/03-08/09,2020.32,Average,(08) August,covid,5000,2020/08/14 06:59:59+00
116,TP02,2020/08/09 06:59:59+00,2020/08/03-08/09,2020.32,Average,(08) August,covid,155500,2020/08/14 06:59:59+00
117,TP03,2020/08/09 06:59:59+00,2020/08/03-08/09,2020.32,Average,(08) August,covid,5000,2020/08/14 06:59:59+00
118,TP04,2020/08/09 06:59:59+00,2020/08/03-08/09,2020.32,Average,(08) August,covid,5000,2020/08/14 06:59:59+00
119,TP05,2020/08/09 06:59:59+00,2020/08/03-08/09,2020.32,Average,(08) August,covid,5000,2020/08/14 06:59:59+00
120,TP06,2020/08/09 06:59:59+00,2020/08/03-08/09,2020.32,Average,(08) August,covid,50000,2020/08/14 06:59:59+00
121,TP07,2020/08/09 06:59:59+00,2020/08/03-08/09,2020.32,Average,(08) August,covid,5000,2020/08/14 06:59:59+00
122,Guadalupe,2020/08/09 06:59:59+00,2020/08/03-08/09,2020.32,Average,(08) August,covid,170800,2020/08/14 06:59:59+00
123,TP01,2020/08/16 06:59:59+00,2020/08/10-08/16,2020.33,Average,(08) August,covid,72467,2020/08/21 06:59:59+00
124,TP02,2020/08/16 06:59:59+00,2020/08/10-08/16,2020.33,Average,(08) August,covid,143600,2020/08/21 06:59:59+00
125,TP03,2020/08/16 06:59:59+00,2020/08/10-08/16,2020.33,Average,(08) August,covid,5000,2020/08/21 06:59:59+00
126,TP04,2020/08/16 06:59:59+00,2020/08/10-08/16,2020.33,Average,(08) August,covid,5000,2020/08/21 06:59:59+00
127,TP05,2020/08/16 06:59:59+00,2020/08/10-08/16,2020.33,Average,(08) August,covid,5000,2020/08/21 06:59:59+00
128,TP06,2020/08/16 06:59:59+00,2020/08/10-08/16,2020.33,Average,(08) August,covid,5000,2020/08/21 06:59:59+00
129,TP07,2020/08/16 06:59:59+00,2020/08/10-08/16,2020.33,Average,(08) August,covid,5000,2020/08/21 06:59:59+00
130,Guadalupe,2020/08/16 06:59:59+00,2020/08/10-08/16,2020.33,Average,(08) August,covid,5000,2020/08/21 06:59:59+00
131,TP01,2020/08/23 06:59:59+00,2020/08/17-08/23,2020.34,Average,(08) August,covid,5000,2020/08/21 06:59:59+00
132,TP02,2020/08/23 06:59:59+00,2020/08/17-08/23,2020.34,Average,(08) August,covid,99147,2020/11/06 06:59:59+00
133,TP03,2020/08/23 06:59:59+00,2020/08/17-08/23,2020.34,Average,(08) August,covid,5000,2020/08/21 06:59:59+00
134,TP04,2020/08/23 06:59:59+00,2020/08/17-08/23,2020.34,Average,(08) August,covid,5000,2020/08/21 06:59:59+00
135,TP05,2020/08/23 06:59:59+00,2020/08/17-08/23,2020.34,Average,(08) August,covid,84833,2020/08/28 06:59:59+00
136,TP06,2020/08/23 06:59:59+00,2020/08/17-08/23,2020.34,Average,(08) August,covid,229067,2020/08/28 06:59:59+00
137,TP07,2020/08/23 06:59:59+00,2020/08/17-08/23,2020.34,Average,(08) August,covid,5000,2020/08/21 06:59:59+00
138,Guadalupe,2020/08/23 06:59:59+00,2020/08/17-08/23,2020.34,Average,(08) August,covid,5000,2020/08/21 06:59:59+00
139,TP01,2020/08/30 06:59:59+00,2020/08/24-08/30,2020.35,Average,(08) August,covid,156233,2020/09/04 06:59:59+00
140,TP02,2020/08/30 06:59:59+00,2020/08/24-08/30,2020.35,Average,(08) August,covid,469931,2020/11/06 06:59:59+00
141,TP03,2020/08/30 06:59:59+00,2020/08/24-08/30,2020.35,Average,(08) August,covid,5000,2020/09/04 06:59:59+00
142,TP04,2020/08/30 06:59:59+00,2020/08/24-08/30,2020.35,Average,(08) August,covid,72200,2020/09/04 06:59:59+00
143,TP05,2020/08/30 06:59:59+00,2020/08/24-08/30,2020.35,Average,(08) August,covid,5000,2020/09/04 06:59:59+00
144,TP06,2020/08/30 06:59:59+00,2020/08/24-08/30,2020.35,Average,(08) August,covid,707133,2020/09/04 06:59:59+00
145,TP07,2020/08/30 06:59:59+00,2020/08/24-08/30,2020.35,Average,(08) August,covid,402300,2020/09/04 06:59:59+00
146,Guadalupe,2020/08/30 06:59:59+00,2020/08/24-08/30,2020.35,Average,(08) August,covid,53167,2020/09/04 06:59:59+00
147,TP01,2020/09/06 06:59:59+00,2020/08/31-9/6/2020,2020.36,Average,(09) September,covid,159367,2020/09/10 06:59:59+00
148,TP02,2020/09/06 06:59:59+00,2020/08/31-9/6/2020,2020.36,Average,(09) September,covid,236336,2020/11/06 06:59:59+00
149,TP03,2020/09/06 06:59:59+00,2020/08/31-9/6/2020,2020.36,Average,(09) September,covid,5000,2020/09/10 06:59:59+00
158,TP04,2020/09/06 06:59:59+00,2020/08/31-9/6/2020,2020.36,Average,(09) September,covid,5000,2020/09/10 06:59:59+00
159,TP05,2020/09/06 06:59:59+00,2020/08/31-9/6/2020,2020.36,Average,(09) September,covid,5000,2020/09/10 06:59:59+00
160,TP06,2020/09/06 06:59:59+00,2020/08/31-9/6/2020,2020.36,Average,(09) September,covid,1155467,2020/09/10 06:59:59+00
161,TP07,2020/09/06 06:59:59+00,2020/08/31-9/6/2020,2020.36,Average,(09) September,covid,368333,2020/09/10 06:59:59+00
162,Guadalupe,2020/09/06 06:59:59+00,2020/08/31-9/6/2020,2020.36,Average,(09) September,covid,5000,2020/09/10 06:59:59+00
163,TP01,2020/09/13 06:59:59+00,2020/09/07-09/13/2020,2020.37,Average,(09) September,covid,159900,2020/09/21 06:59:59+00
164,TP02,2020/09/13 06:59:59+00,2020/09/07-09/13/2020,2020.37,Average,(09) September,covid,10558,2020/11/06 06:59:59+00
165,TP03,2020/09/13 06:59:59+00,2020/09/07-09/13/2020,2020.37,Average,(09) September,covid,5000,2020/09/18 06:59:59+00
166,TP04,2020/09/13 06:59:59+00,2020/09/07-09/13/2020,2020.37,Average,(09) September,covid,390633,2020/09/18 06:59:59+00
167,TP05,2020/09/13 06:59:59+00,2020/09/07-09/13/2020,2020.37,Average,(09) September,covid,38133,2020/09/21 06:59:59+00
168,TP06,2020/09/13 06:59:59+00,2020/09/07-09/13/2020,2020.37,Average,(09) September,covid,3909967,2020/09/21 06:59:59+00
169,TP07,2020/09/13 06:59:59+00,2020/09/07-09/13/2020,2020.37,Average,(09) September,covid,973033,2020/09/21 06:59:59+00
170,Guadalupe,2020/09/13 06:59:59+00,2020/09/07-09/13/2020,2020.37,Average,(09) September,covid,5000,2020/09/18 06:59:59+00
171,TP01,2020/09/20 06:59:59+00,2020/09/14-09/20/2020,2020.38,Average,(09) September,covid,102800,2020/09/25 06:59:59+00
172,TP02,2020/09/20 06:59:59+00,2020/09/14-09/20/2020,2020.38,Average,(09) September,covid,595633,2020/11/06 06:59:59+00
173,TP03,2020/09/20 06:59:59+00,2020/09/14-09/20/2020,2020.38,Average,(09) September,covid,5000,2020/09/21 06:59:59+00
174,TP04,2020/09/20 06:59:59+00,2020/09/14-09/20/2020,2020.38,Average,(09) September,covid,130333,2020/09/25 06:59:59+00
175,TP05,2020/09/20 06:59:59+00,2020/09/14-09/20/2020,2020.38,Average,(09) September,covid,5000,2020/09/21 06:59:59+00
176,TP06,2020/09/20 06:59:59+00,2020/09/14-09/20/2020,2020.38,Average,(09) September,covid,705767,2020/09/25 06:59:59+00
177,TP07,2020/09/20 06:59:59+00,2020/09/14-09/20/2020,2020.38,Average,(09) September,covid,463300,2020/09/21 06:59:59+00
178,Guadalupe,2020/09/20 06:59:59+00,2020/09/14-09/20/2020,2020.38,Average,(09) September,covid,5000,2020/09/21 06:59:59+00
179,TP01,2020/09/27 06:59:59+00,2020/09/21-09/27/2020,2020.39,Average,(09) September,covid,25700,2020/10/09 06:59:59+00
180,TP02,2020/09/27 06:59:59+00,2020/09/21-09/27/2020,2020.39,Average,(09) September,covid,423733,2020/11/06 06:59:59+00
181,TP03,2020/09/27 06:59:59+00,2020/09/21-09/27/2020,2020.39,Average,(09) September,covid,5000,2020/10/02 06:59:59+00
182,TP04,2020/09/27 06:59:59+00,2020/09/21-09/27/2020,2020.39,Average,(09) September,covid,47967,2020/10/09 06:59:59+00
