FID,Site,Sample_Date,Week_Dates,Week,Day,Month,Test,Gene_Copies_per_Liter,Date_Updated
183,TP05,2020/09/27 06:59:59+00,2020/09/21-09/27/2020,2020.39,Average,(09) September,covid,5000,2020/10/02 06:59:59+00
184,TP06,2020/09/27 06:59:59+00,2020/09/21-09/27/2020,2020.39,Average,(09) September,covid,479333,2020/10/09 06:59:59+00
185,TP07,2020/09/27 06:59:59+00,2020/09/21-09/27/2020,2020.39,Average,(09) September,covid,264133,2020/10/09 06:59:59+00
186,Guadalupe,2020/09/27 06:59:59+00,2020/09/21-09/27/2020,2020.39,Average,(09) September,covid,76933,2020/10/09 06:59:59+00
187,TP01,2020/10/04 06:59:59+00,2020/09/28-10/4/2020,2020.4,Average,(09) September,covid,106267,2020/10/09 06:59:59+00
188,TP02,2020/10/04 06:59:59+00,2020/09/28-10/4/2020,2020.4,Average,(09) September,covid,214333,2020/10/09 06:59:59+00
189,TP03,2020/10/04 06:59:59+00,2020/09/28-10/4/2020,2020.4,Average,(09) September,covid,47467,2020/10/09 06:59:59+00
190,TP04,2020/10/04 06:59:59+00,2020/09/28-10/4/2020,2020.4,Average,(09) September,covid,5000,2020/10/09 06:59:59+00
191,TP05,2020/10/04 06:59:59+00,2020/09/28-10/4/2020,2020.4,Average,(09) September,covid,5000,2020/10/09 06:59:59+00
192,TP06,2020/10/04 06:59:59+00,2020/09/28-10/4/2020,2020.4,Average,(09) September,covid,2024833,2020/10/09 06:59:59+00
193,TP07,2020/10/04 06:59:59+00,2020/09/28-10/4/2020,2020.4,Average,(09) September,covid,576200,2020/10/09 06:59:59+00
194,Guadalupe,2020/10/04 06:59:59+00,2020/09/28-10/4/2020,2020.4,Average,(09) September,covid,601900,2020/10/09 06:59:59+00
195,TP01,2020/10/11 06:59:59+00,2020/10/05-10/11/2020,2020.41,Average,(10) October,covid,5000,2020/10/16 06:59:59+00
196,TP02,2020/10/11 06:59:59+00,2020/10/05-10/11/2020,2020.41,Average,(10) October,covid,166200,2020/10/16 06:59:59+00
197,TP03,2020/10/11 06:59:59+00,2020/10/05-10/11/2020,2020.41,Average,(10) October,covid,5000,2020/10/16 06:59:59+00
198,TP04,2020/10/11 06:59:59+00,2020/10/05-10/11/2020,2020.41,Average,(10) October,covid,5000,2020/10/16 06:59:59+00
199,TP05,2020/10/11 06:59:59+00,2020/10/05-10/11/2020,2020.41,Average,(10) October,covid,5000,2020/10/16 06:59:59+00
200,TP06,2020/10/11 06:59:59+00,2020/10/05-10/11/2020,2020.41,Average,(10) October,covid,274633,2020/10/16 06:59:59+00
201,TP07,2020/10/11 06:59:59+00,2020/10/05-10/11/2020,2020.41,Average,(10) October,covid,5000,2020/10/16 06:59:59+00
202,Guadalupe,2020/10/11 06:59:59+00,2020/10/05-10/11/2020,2020.41,Average,(10) October,covid,5000,2020/10/16 06:59:59+00
203,TP01,2020/10/18 06:59:59+00,2020/10/12-10/18/2020,2020.42,Average,(10) October,covid,5000,2020/10/19 06:59:59+00
204,TP02,2020/10/18 06:59:59+00,2020/10/12-10/18/2020,2020.42,Average,(10) October,covid,30433,2020/10/19 06:59:59+00
205,TP03,2020/10/18 06:59:59+00,2020/10/12-10/18/2020,2020.42,Average,(10) October,covid,5000,2020/10/19 06:59:59+00
206,TP04,2020/10/18 06:59:59+00,2020/10/12-10/18/2020,2020.42,Average,(10) October,covid,5000,2020/10/19 06:59:59+00
207,TP05,2020/10/18 06:59:59+00,2020/10/12-10/18/2020,2020.42,Average,(10) October,covid,5000,2020/10/19 06:59:59+00
208,TP06,2020/10/18 06:59:59+00,2020/10/12-10/18/2020,2020.42,Average,(10) October,covid,92200,2020/10/19 06:59:59+00
209,TP07,2020/10/18 06:59:59+00,2020/10/12-10/18/2020,2020.42,Average,(10) October,covid,5000,2020/10/19 06:59:59+00
210,Guadalupe,2020/10/18 06:59:59+00,2020/10/12-10/18/2020,2020.42,Average,(10) October,covid,149333,2020/10/19 06:59:59+00
211,TP01,2020/10/25 06:59:59+00,2020/10/19-10/25/2020,2020.43,Average,(10) October,covid,5000,2020/11/02 06:59:59+00
212,TP02,2020/10/25 06:59:59+00,2020/10/19-10/25/2020,2020.43,Average,(10) October,covid,208333,2020/11/02 06:59:59+00
213,TP03,2020/10/25 06:59:59+00,2020/10/19-10/25/2020,2020.43,Average,(10) October,covid,5000,2020/11/02 06:59:59+00
214,TP04,2020/10/25 06:59:59+00,2020/10/19-10/25/2020,2020.43,Average,(10) October,covid,5000,2020/11/02 06:59:59+00
215,TP05,2020/10/25 06:59:59+00,2020/10/19-10/25/2020,2020.43,Average,(10) October,covid,160667,2020/11/02 06:59:59+00
216,TP06,2020/10/25 06:59:59+00,2020/10/19-10/25/2020,2020.43,Average,(10) October,covid,205967,2020/11/02 06:59:59+00
217,TP07,2020/10/25 06:59:59+00,2020/10/19-10/25/2020,2020.43,Average,(10) October,covid,5000,2020/11/02 06:59:59+00
218,Guadalupe,2020/10/25 06:59:59+00,2020/10/19-10/25/2020,2020.43,Average,(10) October,covid,5000,2020/11/02 06:59:59+00
219,TP01,2020/11/01 06:59:59+00,2020/10/26-11/1/2020,2020.44,Average,(10) October,covid,5000,2020/11/06 06:59:59+00
220,TP02,2020/11/01 06:59:59+00,2020/10/26-11/1/2020,2020.44,Average,(10) October,covid,301467,2020/11/23 06:59:59+00
221,TP03,2020/11/01 06:59:59+00,2020/10/26-11/1/2020,2020.44,Average,(10) October,covid,5000,2020/11/06 06:59:59+00
222,TP04,2020/11/01 06:59:59+00,2020/10/26-11/1/2020,2020.44,Average,(10) October,covid,120967,2020/11/23 06:59:59+00
223,TP05,2020/11/01 06:59:59+00,2020/10/26-11/1/2020,2020.44,Average,(10) October,covid,281033,2020/11/23 06:59:59+00
224,TP06,2020/11/01 06:59:59+00,2020/10/26-11/1/2020,2020.44,Average,(10) October,covid,45067,2020/11/23 06:59:59+00
225,TP07,2020/11/01 06:59:59+00,2020/10/26-11/1/2020,2020.44,Average,(10) October,covid,5000,2020/11/06 06:59:59+00
226,Guadalupe,2020/11/01 06:59:59+00,2020/10/26-11/1/2020,2020.44,Average,(10) October,covid,5000,2020/11/06 06:59:59+00
227,TP01,2020/11/08 06:59:59+00,2020/11/02-11/8/2020,2020.45,Average,(11) November,covid,209633,2020/11/23 06:59:59+00
228,TP02,2020/11/08 06:59:59+00,2020/11/02-11/8/2020,2020.45,Average,(11) November,covid,56767,2020/11/23 06:59:59+00
229,TP03,2020/11/08 06:59:59+00,2020/11/02-11/8/2020,2020.45,Average,(11) November,covid,5000,2020/11/13 06:59:59+00
230,TP04,2020/11/08 06:59:59+00,2020/11/02-11/8/2020,2020.45,Average,(11) November,covid,5000,2020/11/13 06:59:59+00
231,TP05,2020/11/08 06:59:59+00,2020/11/02-11/8/2020,2020.45,Average,(11) November,covid,130567,2020/11/23 06:59:59+00
232,TP06,2020/11/08 06:59:59+00,2020/11/02-11/8/2020,2020.45,Average,(11) November,covid,294167,2020/11/23 06:59:59+00
233,TP07,2020/11/08 06:59:59+00,2020/11/02-11/8/2020,2020.45,Average,(11) November,covid,5000,2020/11/13 06:59:59+00
234,Guadalupe,2020/11/08 06:59:59+00,2020/11/02-11/8/2020,2020.45,Average,(11) November,covid,5000,2020/11/13 06:59:59+00
235,TP01,2020/11/15 06:59:59+00,2020/11/09-11/15/2020,2020.46,Average,(11) November,covid,5000,2020/11/23 06:59:59+00
236,TP02,2020/11/15 06:59:59+00,2020/11/09-11/15/2020,2020.46,Average,(11) November,covid,583600,2020/11/23 06:59:59+00
237,TP03,2020/11/15 06:59:59+00,2020/11/09-11/15/2020,2020.46,Average,(11) November,covid,5000,2020/11/23 06:59:59+00
238,TP04,2020/11/15 06:59:59+00,2020/11/09-11/15/2020,2020.46,Average,(11) November,covid,249567,2020/11/23 06:59:59+00
239,TP05,2020/11/15 06:59:59+00,2020/11/09-11/15/2020,2020.46,Average,(11) November,covid,233167,2020/11/23 06:59:59+00
240,TP06,2020/11/15 06:59:59+00,2020/11/09-11/15/2020,2020.46,Average,(11) November,covid,863733,2020/11/23 06:59:59+00
241,TP07,2020/11/15 06:59:59+00,2020/11/09-11/15/2020,2020.46,Average,(11) November,covid,1440167,2020/11/23 06:59:59+00
242,Guadalupe,2020/11/15 06:59:59+00,2020/11/09-11/15/2020,2020.46,Average,(11) November,covid,5000,2020/11/23 06:59:59+00
243,TP01,2020/11/22 06:59:59+00,2020/11/16-11/22/2020,2020.47,Average,(11) November,covid,492933,2020/12/09 06:59:59+00
244,TP02,2020/11/22 06:59:59+00,2020/11/16-11/22/2020,2020.47,Average,(11) November,covid,876067,2020/12/09 06:59:59+00
245,TP03,2020/11/22 06:59:59+00,2020/11/16-11/22/2020,2020.47,Average,(11) November,covid,5000,2020/11/23 06:59:59+00
246,TP04,2020/11/22 06:59:59+00,2020/11/16-11/22/2020,2020.47,Average,(11) November,covid,218833,2020/12/09 06:59:59+00
247,TP05,2020/11/22 06:59:59+00,2020/11/16-11/22/2020,2020.47,Average,(11) November,covid,250800,2020/12/09 06:59:59+00
248,TP06,2020/11/22 06:59:59+00,2020/11/16-11/22/2020,2020.47,Average,(11) November,covid,995400,2020/12/09 06:59:59+00
249,TP07,2020/11/22 06:59:59+00,2020/11/16-11/22/2020,2020.47,Average,(11) November,covid,5000,2020/11/23 06:59:59+00
250,Guadalupe,2020/11/22 06:59:59+00,2020/11/16-11/22/2020,2020.47,Average,(11) November,covid,120600,2020/12/09 06:59:59+00
251,TP01,2020/11/29 06:59:59+00,2020/11/23-11/29/2020,2020.48,Average,(11) November,covid,300100,2020/12/09 06:59:59+00
252,TP02,2020/11/29 06:59:59+00,2020/11/23-11/29/2020,2020.48,Average,(11) November,covid,932300,2020/12/09 06:59:59+00
253,TP03,2020/11/29 06:59:59+00,2020/11/23-11/29/2020,2020.48,Average,(11) November,covid,5000,2020/12/09 06:59:59+00
254,TP04,2020/11/29 06:59:59+00,2020/11/23-11/29/2020,2020.48,Average,(11) November,covid,5000,2020/12/09 06:59:59+00
255,TP05,2020/11/29 06:59:59+00,2020/11/23-11/29/2020,2020.48,Average,(11) November,covid,5000,2020/12/09 06:59:59+00
256,TP06,2020/11/29 06:59:59+00,2020/11/23-11/29/2020,2020.48,Average,(11) November,covid,222500,2020/12/09 06:59:59+00
257,,,,,,,,,
258,TP07,2020/11/29 06:59:59+00,2020/11/23-11/29/2020,2020.48,Average,(11) November,covid,5000,2020/12/09 06:59:59+00
259,Guadalupe,2020/11/29 06:59:59+00,2020/11/23-11/29/2020,2020.48,Average,(11) November,covid,5000,2020/12/09 06:59:59+00
260,TP01,2020/12/06 06:59:59+00,2020/11/30-12/6/2020,2020.49,Average,(12) December,covid,1123933,2020/12/10 06:59:59+00
261,TP02,2020/12/06 06:59:59+00,2020/11/30-12/6/2020,2020.49,Average,(12) December,covid,1047067,2020/12/10 06:59:59+00
262,TP03,2020/12/06 06:59:59+00,2020/11/30-12/6/2020,2020.49,Average,(12) December,covid,5000,2020/12/10 06:59:59+00
263,TP04,2020/12/06 06:59:59+00,2020/11/30-12/6/2020,2020.49,Average,(12) December,covid,798800,2020/12/10 06:59:59+00
264,TP05,2020/12/06 06:59:59+00,2020/11/30-12/6/2020,2020.49,Average,(12) December,covid,461167,2020/12/10 06:59:59+00
265,TP06,2020/12/06 06:59:59+00,2020/11/30-12/6/2020,2020.49,Average,(12) December,covid,606500,2020/12/10 06:59:59+00
266,TP07,2020/12/06 06:59:59+00,2020/11/30-12/6/2020,2020.49,Average,(12) December,covid,454650,2020/12/10 06:59:59+00
267,Guadalupe,2020/12/06 06:59:59+00,2020/11/30-12/6/2020,2020.49,Average,(12) December,covid,5778500,2020/12/10 06:59:59+00
268,TP01,2020/12/13 06:59:59+00,2020/12/07-12/13/2020,2020.5,Average,(12) December,covid,933633,2020/12/18 06:59:59+00
269,TP02,2020/12/13 06:59:59+00,2020/12/07-12/13/2020,2020.5,Average,(12) December,covid,521067,2020/12/18 06:59:59+00
270,TP03,2020/12/13 06:59:59+00,2020/12/07-12/13/2020,2020.5,Average,(12) December,covid,5000,2020/12/18 06:59:59+00
271,TP04,2020/12/13 06:59:59+00,2020/12/07-12/13/2020,2020.5,Average,(12) December,covid,330933,2020/12/18 06:59:59+00
272,TP05,2020/12/13 06:59:59+00,2020/12/07-12/13/2020,2020.5,Average,(12) December,covid,819767,2020/12/18 06:59:59+00
273,TP06,2020/12/13 06:59:59+00,2020/12/07-12/13/2020,2020.5,Average,(12) December,covid,689533,2020/12/18 06:59:59+00
274,TP07,2020/12/13 06:59:59+00,2020/12/07-12/13/2020,2020.5,Average,(12) December,covid,5000,2020/12/18 06:59:59+00
275,Guadalupe,2020/12/13 06:59:59+00,2020/12/07-12/13/2020,2020.5,Average,(12) December,covid,2442133,2020/12/18 06:59:59+00
276,TP01,2020/12/20 06:59:59+00,2020/12/14-12/20/2020,2020.51,Average,(12) December,covid,1857033,2020/12/29 06:59:59+00
277,TP02,2020/12/20 06:59:59+00,2020/12/14-12/20/2020,2020.51,Average,(12) December,covid,1739267,2020/12/29 06:59:59+00
278,TP03,2020/12/20 06:59:59+00,2020/12/14-12/20/2020,2020.51,Average,(12) December,covid,5000,2020/12/29 06:59:59+00
279,TP04,2020/12/20 06:59:59+00,2020/12/14-12/20/2020,2020.51,Average,(12) December,covid,717833,2020/12/29 06:59:59+00
280,TP05,2020/12/20 06:59:59+00,2020/12/14-12/20/2020,2020.51,Average,(12) December,covid,746967,2020/12/29 06:59:59+00
281,TP06,2020/12/20 06:59:59+00,2020/12/14-12/20/2020,2020.51,Average,(12) December,covid,1134000,2020/12/29 06:59:59+00
282,TP07,2020/12/20 06:59:59+00,2020/12/14-12/20/2020,2020.51,Average,(12) December,covid,2535367,2020/12/29 06:59:59+00
283,Guadalupe,2020/12/27 06:59:59+00,2020/12/14-12/20/2020,2020.51,Average,(12) December,covid,3596133,2020/12/29 06:59:59+00
284,TP01,2020/12/27 06:59:59+00,2020/12/21-12/27/2020,2020.52,Average,(12) December,covid,723300,2020/12/29 06:59:59+00
285,TP02,2020/12/27 06:59:59+00,2020/12/21-12/27/2020,2020.52,Average,(12) December,covid,865700,2020/12/29 06:59:59+00
286,TP03,2020/12/27 06:59:59+00,2020/12/21-12/27/2020,2020.52,Average,(12) December,covid,5000,2020/12/29 06:59:59+00
287,TP04,2020/12/27 06:59:59+00,2020/12/21-12/27/2020,2020.52,Average,(12) December,covid,500700,2020/12/29 06:59:59+00
288,TP05,2020/12/27 06:59:59+00,2020/12/21-12/27/2020,2020.52,Average,(12) December,covid,254400,2020/12/29 06:59:59+00
289,TP06,2020/12/27 06:59:59+00,2020/12/21-12/27/2020,2020.52,Average,(12) December,covid,1017200,2020/12/29 06:59:59+00
290,TP07,2020/12/27 06:59:59+00,2020/12/21-12/27/2020,2020.52,Average,(12) December,covid,331600,2020/12/29 06:59:59+00
291,Guadalupe,2020/12/27 06:59:59+00,2020/12/21-12/27/2020,2020.52,Average,(12) December,covid,2301100,2020/12/29 06:59:59+00
292,TP01,2021/01/03 06:59:59+00,2020/12/28-01/03/2021,2021.01,Average,(01) January,covid,1857000,2021/01/05 06:59:59+00
293,TP02,2021/01/03 06:59:59+00,2020/12/28-01/03/2021,2021.01,Average,(01) January,covid,955450,2021/01/05 06:59:59+00
294,TP03,2021/01/03 06:59:59+00,2020/12/28-01/03/2021,2021.01,Average,(01) January,covid,281350,2021/01/05 06:59:59+00
295,TP04,2021/01/03 06:59:59+00,2020/12/28-01/03/2021,2021.01,Average,(01) January,covid,502200,2021/01/05 06:59:59+00
296,TP05,2021/01/03 06:59:59+00,2020/12/28-01/03/2021,2021.01,Average,(01) January,covid,4428800,2021/01/05 06:59:59+00
297,TP06,2021/01/03 06:59:59+00,2020/12/28-01/03/2021,2021.01,Average,(01) January,covid,2178650,2021/01/05 06:59:59+00
298,TP07,2021/01/03 06:59:59+00,2020/12/28-01/03/2021,2021.01,Average,(01) January,covid,2201900,2021/01/05 06:59:59+00
299,Guadalupe,2021/01/03 06:59:59+00,2020/12/28-01/03/2021,2021.01,Average,(01) January,covid,2000000,2021/01/05 06:59:59+00
300,TP01,2021/01/10 06:59:59+00,2021/01/04-01/10/2021,2021.02,Average,(01) January,covid,4148233,2021/01/20 06:59:59+00
301,TP02,2021/01/10 06:59:59+00,2021/01/04-01/10/2021,2021.02,Average,(01) January,covid,2602300,2021/01/20 06:59:59+00
302,TP03,2021/01/10 06:59:59+00,2021/01/04-01/10/2021,2021.02,Average,(01) January,covid,356467,2021/01/20 06:59:59+00
303,TP04,2021/01/10 06:59:59+00,2021/01/04-01/10/2021,2021.02,Average,(01) January,covid,1730300,2021/01/20 06:59:59+00
304,TP05,2021/01/10 06:59:59+00,2021/01/04-01/10/2021,2021.02,Average,(01) January,covid,3660033,2021/01/20 06:59:59+00
305,TP06,2021/01/10 06:59:59+00,2021/01/04-01/10/2021,2021.02,Average,(01) January,covid,2664933,2021/01/20 06:59:59+00
306,TP07,2021/01/10 06:59:59+00,2021/01/04-01/10/2021,2021.02,Average,(01) January,covid,1915567,2021/01/20 06:59:59+00
307,Guadalupe,2021/01/10 06:59:59+00,2021/01/04-01/10/2021,2021.02,Average,(01) January,covid,4025867,2021/01/20 06:59:59+00
308,TP01,2021/01/17 06:59:59+00,2021/01/11-01/17/2021,2021.03,Average,(01) January,covid,3317400,2021/01/20 06:59:59+00
309,TP02,2021/01/17 06:59:59+00,2021/01/11-01/17/2021,2021.03,Average,(01) January,covid,1505667,2021/01/20 06:59:59+00
310,TP03,2021/01/17 06:59:59+00,2021/01/11-01/17/2021,2021.03,Average,(01) January,covid,5000,2021/01/20 06:59:59+00
311,TP04,2021/01/17 06:59:59+00,2021/01/11-01/17/2021,2021.03,Average,(01) January,covid,1298100,2021/01/20 06:59:59+00
312,TP05,2021/01/17 06:59:59+00,2021/01/11-01/17/2021,2021.03,Average,(01) January,covid,1361567,2021/01/20 06:59:59+00
313,TP06,2021/01/17 06:59:59+00,2021/01/11-01/17/2021,2021.03,Average,(01) January,covid,1892100,2021/01/20 06:59:59+00
314,TP07,2021/01/17 06:59:59+00,2021/01/11-01/17/2021,2021.03,Average,(01) January,covid,763167,2021/01/20 06:59:59+00
315,Guadalupe,2021/01/17 06:59:59+00,2021/01/11-01/17/2021,2021.03,Average,(01) January,covid,3599600,2021/01/20 06:59:59+00
317,TP02,2021/01/24 06:59:59+00,2021/01/18-01/24/2021,2021.04,Average,(01) January,covid,1167667,2021/02/08 06:59:59+00
318,TP03,2021/01/24 06:59:59+00,2021/01/18-01/24/2021,2021.04,Average,(01) January,covid,5000,2021/01/28 06:59:59+00
319,TP04,2021/01/24 06:59:59+00,2021/01/18-01/24/2021,2021.04,Average,(01) January,covid,405167,2021/01/28 06:59:59+00
320,TP05,2021/01/24 06:59:59+00,2021/01/18-01/24/2021,2021.04,Average,(01) January,covid,193867,2021/01/28 06:59:59+00
321,TP06,2021/01/24 06:59:59+00,2021/01/18-01/24/2021,2021.04,Average,(01) January,covid,2513400,2021/01/28 06:59:59+00
322,TP07,2021/01/24 06:59:59+00,2021/01/18-01/24/2021,2021.04,Average,(01) January,covid,795767,2021/01/28 06:59:59+00
323,Guadalupe,2021/01/24 06:59:59+00,2021/01/18-01/24/2021,2021.04,Average,(01) January,covid,1461600,2021/01/28 06:59:59+00
324,TP01,2021/01/24 06:59:59+00,2021/01/18-01/24/2021,2021.04,Average,(01) January,covid,732067,2021/01/29 06:59:59+00
325,TP01,2021/01/31 06:59:59+00,2021/01/25-01/31/2021,2021.05,Average,(01) January,covid,2576333,2021/02/08 06:59:59+00
326,TP02,2021/01/31 06:59:59+00,2021/01/25-01/31/2021,2021.05,Average,(01) January,covid,1388233,2021/02/08 06:59:59+00
327,TP03,2021/01/31 06:59:59+00,2021/01/25-01/31/2021,2021.05,Average,(01) January,covid,5000,2021/02/08 06:59:59+00
328,TP04,2021/01/31 06:59:59+00,2021/01/25-01/31/2021,2021.05,Average,(01) January,covid,649567,2021/02/08 06:59:59+00
329,TP05,2021/01/31 06:59:59+00,2021/01/25-01/31/2021,2021.05,Average,(01) January,covid,97900,2021/02/08 06:59:59+00
330,TP06,2021/01/31 06:59:59+00,2021/01/25-01/31/2021,2021.05,Average,(01) January,covid,1612433,2021/02/08 06:59:59+00
331,TP07,2021/01/31 06:59:59+00,2021/01/25-01/31/2021,2021.05,Average,(01) January,covid,641133,2021/02/18 06:59:59+00
332,Guadalupe,2021/01/31 06:59:59+00,2021/01/25-01/31/2021,2021.05,Average,(01) January,covid,1765467,2021/02/08 06:59:59+00
333,TP01,2021/02/07 06:59:59+00,2021/02/01-02/07/2021,2021.06,Average,(02) February,covid,1424500,2021/02/18 06:59:59+00
334,TP02,2021/02/07 06:59:59+00,2021/02/01-02/07/2021,2021.06,Average,(02) February,covid,1887567,2021/02/18 06:59:59+00
335,TP03,2021/02/07 06:59:59+00,2021/02/01-02/07/2021,2021.06,Average,(02) February,covid,5000,2021/02/18 06:59:59+00
336,TP04,2021/02/07 06:59:59+00,2021/02/01-02/07/2021,2021.06,Average,(02) February,covid,830933,2021/02/18 06:59:59+00
337,TP05,2021/02/07 06:59:59+00,2021/02/01-02/07/2021,2021.06,Average,(02) February,covid,718333,2021/02/18 06:59:59+00
338,TP06,2021/02/07 06:59:59+00,2021/02/01-02/07/2021,2021.06,Average,(02) February,covid,1074500,2021/02/18 06:59:59+00
339,TP07,2021/02/07 06:59:59+00,2021/02/01-02/07/2021,2021.06,Average,(02) February,covid,395100,2021/02/18 06:59:59+00
340,Guadalupe,2021/02/07 06:59:59+00,2021/02/01-02/07/2021,2021.06,Average,(02) February,covid,933033,2021/02/18 06:59:59+00
341,TP01,2021/02/14 06:59:59+00,2021/02/08-02/14/2021,2021.07,Average,(02) February,covid,276200,2021/02/19 06:59:59+00
342,TP02,2021/02/14 06:59:59+00,2021/02/08-02/14/2021,2021.07,Average,(02) February,covid,790500,2021/02/19 06:59:59+00
343,TP03,2021/02/14 06:59:59+00,2021/02/08-02/14/2021,2021.07,Average,(02) February,covid,5000,2021/02/19 06:59:59+00
344,TP04,2021/02/14 06:59:59+00,2021/02/08-02/14/2021,2021.07,Average,(02) February,covid,5000,2021/02/19 06:59:59+00
345,TP05,2021/02/14 06:59:59+00,2021/02/08-02/14/2021,2021.07,Average,(02) February,covid,447200,2021/02/19 06:59:59+00
346,TP06,2021/02/14 06:59:59+00,2021/02/08-02/14/2021,2021.07,Average,(02) February,covid,317400,2021/02/19 06:59:59+00
347,TP07,2021/02/14 06:59:59+00,2021/02/08-02/14/2021,2021.07,Average,(02) February,covid,351667,2021/02/19 06:59:59+00
348,Guadalupe,2021/02/14 06:59:59+00,2021/02/08-02/14/2021,2021.07,Average,(02) February,covid,453900,2021/02/19 06:59:59+00
349,,,,,,,,,
350,,,,,,,,,
351,,,,,,,,,
352,,,,,,,,,
